Year,Month,State,usage
2022,11,AK,522177.9
2022,11,AL,6309754.6
2022,11,AR,3547676.9
2022,11,AZ,5450216.8
2022,11,CA,17870623
2022,11,CO,4392546.4
2022,11,CT,2035627.2
2022,11,DC,765179.66
2022,11,DE,798172.55
2022,11,FL,19062132
2022,11,GA,10335911
2022,11,HI,751428.11
2022,11,IA,4340589.9
2022,11,ID,1992035.2
2022,11,IL,10092198
2022,11,IN,7389638.1
2022,11,KS,3072442.4
2022,11,KY,5405482.4
2022,11,LA,6963473.3
2022,11,MA,3752603.1
2022,11,MD,4393948.8
2022,11,ME,887825.95
2022,11,MI,7647906.8
2022,11,MN,5194596.5
2022,11,MO,5900371
2022,11,MS,3531411
2022,11,MT,1260138.9
2022,11,NC,10537790
2022,11,ND,2266673.8
2022,11,NE,2533236
2022,11,NH,795305.93
2022,11,NJ,5138107.4
2022,11,NM,2150643.7
2022,11,NV,2820177.8
2022,11,NY,10427525
2022,11,OH,11403306
2022,11,OK,5101592.2
2022,11,OR,4687607.3
2022,11,PA,10784179
2022,11,RI,548258.2
2022,11,SC,6347251.5
2022,11,SD,1061238.2
2022,11,TN,7186646.8
2022,11,TX,31160658
2022,11,UT,2602277.5
2022,11,VA,10407797
2022,11,VT,423363.07
2022,11,WA,7709940.3
2022,11,WI,5451862.7
2022,11,WV,2653329.9
2022,11,WY,1419728.5
2022,10,AK,485153.82
2022,10,AL,6367847.6
2022,10,AR,3758056.4
2022,10,AZ,6502090.5
2022,10,CA,21888606
2022,10,CO,4388090.2
2022,10,CT,2008175.3
2022,10,DC,777400.26
2022,10,DE,729684.18
2022,10,FL,20625471
2022,10,GA,10467549
2022,10,HI,811064.33
2022,10,IA,4101211
2022,10,ID,1776773.6
2022,10,IL,9875129.3
2022,10,IN,7213255.3
2022,10,KS,3138905.4
2022,10,KY,5326536.9
2022,10,LA,7782550.3
2022,10,MA,3856640.2
2022,10,MD,4076916.1
2022,10,ME,853051.15
2022,10,MI,7584046.1
2022,10,MN,5012746.4
2022,10,MO,5522164.8
2022,10,MS,3927829.5
2022,10,MT,1103028
2022,10,NC,9981892.9
2022,10,ND,2119654.1
2022,10,NE,2432480.3
2022,10,NH,770911.76
2022,10,NJ,5226482.1
2022,10,NM,2234721.9
2022,10,NV,3148052.6
2022,10,NY,10684241
2022,10,OH,11237903
2022,10,OK,5094783.1
2022,10,OR,4027205.3
2022,10,PA,10635683
2022,10,RI,545991.45
2022,10,SC,6045500.1
2022,10,SD,982818.35
2022,10,TN,7403298.3
2022,10,TX,34564359
2022,10,UT,2539478.8
2022,10,VA,9624454.7
2022,10,VT,409946.57
2022,10,WA,6481402.7
2022,10,WI,5326932
2022,10,WV,2508503.7
2022,10,WY,1318302.7
2022,9,AK,462384.12
2022,9,AL,7469965.2
2022,9,AR,4354159.6
2022,9,AZ,8360940.9
2022,9,CA,25845476
2022,9,CO,4861087.7
2022,9,CT,2135803.2
2022,9,DC,878768.67
2022,9,DE,988689.84
2022,9,FL,24272255
2022,9,GA,12199173
2022,9,HI,793719.53
2022,9,IA,4368005.2
2022,9,ID,2112200.9
2022,9,IL,11170915
2022,9,IN,8292853.3
2022,9,KS,3782279.3
2022,9,KY,6033289.1
2022,9,LA,8520430.7
